Filename,Model,Dataset,Seed,Fold,MAE_15m,RMSE_15m,MAPE_15m,MAE_30m,RMSE_30m,MAPE_30m,MAE_60m,RMSE_60m,MAPE_60m
agcrn_pems08_seed42_fold3.json,AGCRN,PEMS08,42,3,16.96,26.87,11.48,17.36,27.66,11.74,18.82,29.56,13.05
agcrn_pems08_seed52_fold0.json,AGCRN,PEMS08,52,0,18.66,30.49,12.07,19.29,31.38,12.43,21.3,33.85,13.89
agcrn_pems08_seed52_fold1.json,AGCRN,PEMS08,52,1,19.71,33.57,25.95,20.42,34.89,26.96,22.26,37.45,28.7
agcrn_pems08_seed52_fold2.json,AGCRN,PEMS08,52,2,17.36,27.43,11.1,17.93,28.43,11.37,19.57,30.71,12.47
agcrn_pems08_seed52_fold3.json,AGCRN,PEMS08,52,3,16.68,25.62,12.18,17.25,26.76,12.38,18.88,29.22,13.58
agcrn_pems08_seed62_fold0.json,AGCRN,PEMS08,62,0,17.16,26.68,11.08,17.81,27.85,11.44,19.67,30.52,12.79
agcrn_pems08_seed62_fold1.json,AGCRN,PEMS08,62,1,18.36,29.71,17.74,19.03,31.05,18.77,20.75,33.71,21.06
agcrn_pems08_seed62_fold2.json,AGCRN,PEMS08,62,2,17.23,26.48,11.99,17.74,27.52,12.2,19.3,29.99,12.67
agcrn_pems08_seed62_fold3.json,AGCRN,PEMS08,62,3,16.81,25.84,11.39,17.41,27.09,11.73,19.24,29.92,13.24
dcrnn_pems08_seed42_fold0.json,DCRNN,PEMS08,42,0,16.57,26.05,11.23,18.84,29.62,13.02,23.43,36.23,17.26
dcrnn_pems08_seed42_fold1.json,DCRNN,PEMS08,42,1,15.95,25.22,10.95,18.09,28.94,13.21,22.58,35.61,18.73
dcrnn_pems08_seed42_fold2.json,DCRNN,PEMS08,42,2,16.05,24.96,10.18,18.16,28.53,11.45,22.67,34.98,15.17
dcrnn_pems08_seed42_fold3.json,DCRNN,PEMS08,42,3,15.58,24.19,10.21,17.63,27.74,11.7,21.81,33.98,15.27
dcrnn_pems08_seed52_fold0.json,DCRNN,PEMS08,52,0,16.62,26.12,10.72,18.91,29.75,12.46,23.46,36.25,15.46
dcrnn_pems08_seed52_fold1.json,DCRNN,PEMS08,52,1,16.05,25.28,10.88,18.17,29.03,12.78,22.56,35.66,16.61
dcrnn_pems08_seed52_fold2.json,DCRNN,PEMS08,52,2,16.05,24.99,10.5,18.16,28.51,12.14,22.6,35.0,15.84
dcrnn_pems08_seed52_fold3.json,DCRNN,PEMS08,52,3,15.53,24.07,10.09,17.51,27.5,11.44,21.44,33.38,14.05
dcrnn_pems08_seed62_fold0.json,DCRNN,PEMS08,62,0,16.59,26.1,10.9,18.73,29.61,11.88,23.31,36.09,14.84
dcrnn_pems08_seed62_fold1.json,DCRNN,PEMS08,62,1,15.94,25.21,10.81,18.04,28.9,12.66,22.24,35.26,16.49
dcrnn_pems08_seed62_fold2.json,DCRNN,PEMS08,62,2,16.05,24.84,10.63,18.25,28.34,12.48,22.73,34.68,16.09
